COM_CODE,UPC,DESCRIP,SIZE,CASE,WSTART,NITEM
554,1122542322,VT TOWEL 1 PLY,3 CT,10,,1112801
554,3040000061,~SPARKLE BORDER DESI,1 CT,30,,1113041
554,3040000077,SPARKLE TOWELS MICRO,1 CT,30,,1113041
554,3040000108,SPARKLE BIG ROLL PAP,1 CT,24,,1113011
554,3040000128,$SPARKLE PAPER TOWEL,6 CT,4,,9811001
554,3040001165,CORONET BATH TISSUE,8 CT,12,,1103351
554,3040001869,CORONET SPARKLE-PRIN,1 CT,30,,1113021
554,3600019118,KLEENEX VIVA ULTRA 5,55 EA,30,,1112131
554,3600019244,KLNX VIVA BIG ROLL U,1 CT,24,,1112021
554,3600025250,KLEENEX 175 BUNDLE P,6 CT,6,,989018
554,3600055460,~HI DRI DBL ROLL,6 EA,4,,1112601
554,3600055660,$HI DRI TOWELS,6 CT,4,,1105811
554,3600055820,HI DRI WHITE RECYCLE,30/1 C,30,,1112701
554,3600055829,HI DRI RECYCLED PP .,30/1 C,30,,1112701
554,3600055839,HI DRI HOLIDAY TOWEL,1 CT,30,,9897771
554,3600055850,~HI DRI PRINT TOWELS,1 CT,30,,1112591
554,3600055859,HI DRI PRINT PP.69,1 CT,30,,1112591
554,3600055860,HI DRI/EARTH TONE TO,1 CT,30,,1112601
554,3600055869,HI DRI TAN PP .69,1 CT,30,,1112601
554,3600055870,HI-DRI DOUBLE ROLL P,1 CT,24,,1112621
554,3600055890,HI-DRI BIG ROLL,1 CT,24,,1112611
554,3600058000,HI DRI BUNDLE PACK,15 CT,2,,989017
554,3680024285,GENERIC PAPER TOWELS,1 CT,30,,1112831
554,3680041999,TOP CREST DESIGNER T,1 CT,30,,1110021
554,3700006579,BOUNTY RINSE & REUSE,1 CT,30,,1111361
554,3700006739,BOUNTY RINSE & REUSE,1 CT,24,,1111371
554,3700060172,CHARMIN DBL ROLL WHI,4 CT,12,,1103611
554,3700060174,CHARMIN ULTRA DBL RO,4 CT,12,,1103601
554,3700063037,BOUNTY WHIYE JUMBO,1 CT,30,,1111251
554,3700063067,BOUNTY ASST JUMBO TO,1 CT,30,,1111201
554,3700063087,BOUNTY DESIGNER JUMB,1 CT,30,,1111151
554,3700063111,BOUNTY WHITE/DESIGNE,2 CT,24,,111132
554,3700063117,BOUNTY WHITE/DESIGNE,2 CT,24,,111132
554,3700063181,BOUNTY WHITE/DESIGNE,2 CT,24,,111132
554,3700063251,BNTY BIG ROLL MCROWV,1 CT,24,,1111321
554,3700063255,BNTY BIG ROLL MCROWV,1 CT,24,,1111321
554,3700063261,BOUNTY BIG ROLL TWLS,1 CT,24,,1111341
554,3700063263,BOUNTY FUN PRINTS,1 CT,24,,1111051
554,3700063264,BOUNTY SELECT -A-SIZ,1 CT,24,,1111101
554,3700063268,BOUNTY HOLIDAY PRINT,2 CT,24,,9811221
554,3700063527,BOUNTY WHITE/DESIGNE,3 CT,10,,1111301
554,3700063542,BOUNTY PPR TOWEL,12 CT,28,,1111351
554,3700063903,~BOUNTY 8 PACK,8 ROLL,1,,811061
554,3828111183,DOM PAPER TOWELS PP6,15 CT,1,,1110051
554,3828111184,DOM PAPER TOWELS BND,15 CT,1,,1110051
554,3828111185,DOM PAPER TOWELS,100 CT,30,,1110001
554,3828111186,DOM PAPER TOWELS PP,1 CT,30,,1110001
554,3828111265,DOMINICK'S BIG ROLL,130 CT,24,,1110031
554,3828111287,DOM PAPER TOWELS 3 P,3 EA,10,,1110041
554,4200020200,BOLT JUMBO DESIGNER,1 CT,30,,1111401
554,4200020289,BOLT DSNR TOWEL PP .,1 CT,30,,1111401
554,4200022400,BRAWNY BIG ROLL 50%,1 CT,30,,1111451
554,4200023000,~BRNY RECY BIG ROLL,1 CT,24,,1111501
554,4200024000,BRAWNY JUMBO DESIGNE,1 CT,30,,1111431
554,4200024300,BRAWNY 3 ROLL GIANT,3 CT,10,,1111541
554,4200024400,~BRNWY BG ROLL 50% M,1 CT,24,,1111451
554,4200024500,BRAWNY BIG ROLL HOLI,1 CT,24,,9811341
554,4200024600,BRAWNY 6-ROLL PAPER,6 EA,4,,1111491
554,4200024700,BRAWNY PICK A SIZE B,1 CT,24,,1111471
554,4200027000,GALA DECORATIVE TOWE,1 CT,30,,1111601
554,5400009100,SCOTT TOWEL HOLDER,1 CT,24,,1112001
554,5400009150,SCOTT TOWEL HOLDER,1 CT,24,,1112001
554,5400014190,JOB SQUAD DECORATIVE,1 CT,30,,1112221
554,5400016000,~SCOTTOWELS RECYCLED,1 CT,30,,1112871
554,5400016070,SCOTTOWELS WHITE,1 CT,30,,1112801
554,5400016150,SCOTT 15ROLL BUNDLE,15 CT,2,,9812191
554,5400016400,~SCOTT CLEAN EXTRA B,80 EA,24,,1112861
554,5400016700,~SCOTT CLEAN CHOOSE-,160 EA,24,,1112871
554,5400017000,SCOTT TOWEL 3 PACK S,170 FT,10,,1112891
554,5400017200,~SCOTT CLEAN SINGLE,80 EA,40,,1112851
554,5400017260,~SCOTT CLEAN 6 PK SN,6 CT,8,,1110601
554,5400017280,~SCOTT CLEAN SINGLE,12 EA,4,,1112831
554,5400017400,SCOTT TOWEL BIG ROLL,1 CT,24,,1113001
554,5400017420,~SCOTT CLEAN DOUBLE,2 EA,12,,1112811
554,5400017600,SCOTT CLEAN TRIPLE R,180 EA,24,,1112881
554,5400017630,~SCOTT CLEAN TRIPLE,3 EA,8,,1112821
554,5400017700,SCOTT CLEAN PLUS TOW,1 CT,30,,1112741
554,5400017780,SCOTT CLEAN PLUS TOW,12 EA,2,,1112761
554,5400018080,SCOTT TOWELS DECO,1 CT,30,,1112901
554,5400018250,SCOTTOWELS HOLIDAY T,2 CT,24,,9897611
554,5400018330,~SCOTT TOWEL WHITE D,3 CT,10,,1112951
554,5400018360,SCOTTOWELS BIG 6 BUN,6 CT,4,,9898111
554,5400018500,~SCOTT ALWAYSATHAND,40 CT,12,,1112971
554,5400018580,SCOTT TOWELS ARTS,1 CT,30,,1112851
554,5400018690,~SCOTTOWELS MEGA FRE,1 CT,24,,1113051
554,5400018700,SCOTT MEGA PRINT TOW,1 CT,24,,1113001
554,5400018720,SCOTTOWELS MEGA TWIN,2 CT,12,,9811131
554,5400019500,VIVA ASSTD DEC TOWEL,1 CT,30,,1112141
554,5400019510,~VIVA TOWEL 12ROLL,12 CT,1,,9850051
554,5400019550,KLEENEX VIVA ULTRA 5,55 EA,30,,1112131
554,5400019580,~VIVA DECORATEDTOWEL,1 CT,30,,1112121
554,5400019590,VIVA DECORATER TOWEL,1 CT,30,,1112121
554,5400019600,KLEENEX VIVA ULTRA W,1 CT,24,,1112021
554,5400019610,KLEENEX VIVA ULTRA D,1 CT,24,,1112041
